n,ant,anm
1,-6.01,-6.531
2,-3.536,-3.094
3,-2.499,-2.75
4,-1.918,-2.062
5,-1.604,-1.75
6,-1.325,-1.531
7,-1.173,-1.094
8,-1.044,-0.875
