f,u,udB
1,988,-0.104861108247438
500,936,-0.574483025237895
700,882,-1.09062829736361
1000,815,-1.77684782520047
1200,777,-2.19157962398171
1500,705,-3.03621766017203
2000,600,-4.43697499232713
3000,456,-6.8207031467113
6000,257,-11.8013375333741
10000,169,-15.4422659077265
20000,102,-19.8279965647616
30000,69,-23.2230181852549
