n,n amplitude,xneff (mV),fn (Mhz)
1,627.911,444,1
2,,,
3,203.647,144,3
4,,,
5,119.077,84.2,5
6,,,
7,85.984,60.8,7
8,,,
9,63.922,45.2,9
10,,,
11,53.599,37.9,11
12,,,
13,46.528,32.9,13
14,,,
15,40.305,28.5,15
