f,u,udB
100,997,-0.026096833766886
1000,984,-0.14009803137317
3000,865,-1.25967785070372
5000,750,-2.498774732166
5500,717,-2.889616886644
6000,682,-3.32431250687042
7000,630,-4.01318901092837
8500,555,-5.11414033754647
10000,496,-6.09036647019605
15000,363,-8.80186749927775
20000,285,-10.9031027998298
40000,163,-15.7562479119208
70000,109,-19.2514700411875
90000,91,-20.8191721535781
