f,R,L,C,Reinstell,R2,R3,delta,Q,scheinwiderstand
800,54.644,0.2922,292.2nf,18300,1000,1000,0.30637704421946,3.1611815801017,1469.77354009784
2000,63.29,0.2967,296.7nf,15800,1000,1000,0.268597460109845,3.63307730988019,3728.97929387024
