IB,IC,B,UCE,UBE,RCE
30,7.66,255.33333333333337,0.3,0.676,39.164490861618795
30,8.6,286.6666666666667,0.5,0.682,58.13953488372093
30,8.94,298,0.8,0.685,89.48545861297539
30,8.96,298.66666666666674,1,0.686,111.60714285714285
30,9.26,308.6666666666667,2,0.682,215.98272138228944
30,9.84,328,4,0.674,406.5040650406504
30,10.65,355,6,0.657,563.3802816901408
30,11.67,389,8,0.642,685.5184233076264
30,12.87,429,10,0.617,777.000777000777
30,14.5,483.3333333333334,12,0.584,827.5862068965516
