IB,IC,B,UCE,UBE,RCE
10,2.863,286.3,0.3,0.661,104.78519035976248
10,2.877,287.7,0.5,0.662,173.79214459506431
10,2.905,290.50000000000006,0.8,0.661,275.38726333907056
10,2.927,292.70000000000005,1,0.661,341.646737273659
10,3.008,300.80000000000007,2,0.658,664.8936170212766
10,3.18,318.00000000000006,4,0.653,1257.8616352201257
10,3.38,338,6,0.646,1775.147928994083
10,3.49,349.00000000000006,8,0.643,2292.263610315186
10,3.66,366.00000000000006,10,0.637,2732.24043715847
10,3.85,385.00000000000006,12,0.631,3116.8831168831166
